,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,0.05,2.09,0.87,41.9,2.08,0.87,0.02,0.06,22.0,0.00,0.00,0.00,0.12,0.12,0.06,-0.07,-0.07,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0.00,1.11,0.00,0.0,1.11,0.00,0.00,,7.0,0.00,0.00,0.00,0.22,0.22,0.17,-0.22,-0.22,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,0.00,2.86,0.89,31.3,2.88,0.90,0.00,0.00,19.7,0.00,0.00,0.00,0.16,0.16,0.06,-0.16,-0.16,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,0.03,0.52,0.19,35.3,0.52,0.18,0.00,0.00,22.8,0.00,0.03,0.03,0.06,0.03,0.07,-0.03,-0.03,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,0.06,0.59,0.06,10.0,0.59,0.06,0.10,1.00,15.3,0.00,0.00,0.00,0.05,0.05,0.09,0.01,0.01,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,0.00,0.53,0.00,0.0,0.54,0.00,0.00,,16.1,0.00,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,0.06,1.39,0.48,34.8,1.38,0.48,0.04,0.13,16.7,0.00,0.00,0.00,0.15,0.15,0.11,-0.09,-0.09,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,0.40,2.05,1.17,57.4,2.05,1.17,0.18,0.31,11.9,0.00,0.03,0.07,0.41,0.36,0.18,-0.01,0.01,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,1.25,1.25,1.25,100.0,1.23,1.23,1.00,1.00,6.7,0.00,0.00,0.00,0.13,0.13,0.15,1.13,1.13,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,0.09,0.70,0.13,18.8,0.70,0.13,0.13,0.67,13.8,0.00,0.00,0.00,0.04,0.04,0.06,0.04,0.04,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,0.03,1.75,0.24,14.0,1.75,0.24,0.02,0.14,24.3,0.14,0.00,0.00,0.07,0.07,0.04,-0.03,-0.03,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0.00,0.35,0.00,0.0,0.35,0.00,0.00,,30.0,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0.11,1.48,0.45,30.8,1.48,0.46,0.08,0.25,12.9,0.00,0.00,0.11,0.27,0.19,0.13,-0.16,-0.08,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,0.04,0.92,0.27,29.2,0.92,0.27,0.04,0.14,29.1,0.31,0.00,0.00,0.02,0.02,0.03,0.02,0.02,Matches
96,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,0.08,0.41,0.16,40.0,0.41,0.16,0.20,0.50,12.6,0.00,0.00,0.00,0.06,0.06,0.14,0.02,0.02,Matches
97,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0.00,1.06,0.00,0.0,1.06,0.00,0.00,,19.1,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0.00,5.00,0.00,0.0,4.50,0.00,0.00,,31.3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,0.00,1.19,0.34,28.6,1.19,0.34,0.00,0.00,21.2,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,0.20,1.43,0.41,28.6,1.43,0.41,0.14,0.50,21.2,0.05,0.00,0.00,0.07,0.07,0.05,0.13,0.13,Matches
101,Janis Antiste\Janis-Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0.00,10.0,10.0,100.0,7.50,7.50,0.00,0.00,26.9,10.0,0.00,0.00,1.00,1.00,0.07,-1.00,-1.00,Matches
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,0.51,3.42,1.53,44.8,3.41,1.53,0.13,0.30,13.4,0.00,0.05,0.05,0.60,0.56,0.16,-0.09,-0.10,Matches
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,0.00,0.09,0.00,0.0,0.09,0.00,0.00,,8.0,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
