,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2419,Mattia Sprocati\Mattia-Sprocati,it ITA,FW,Parma,it Serie A,28-006,1993,0.2,25.0,25.0,0.00,0.00,0.00,15.0,0.00,0.00,0.00,0.00,0.00,0.00,25.0,0.00,0.00,5.00,20.0,0.00,0.00,0.00,25.0,0.00,0.00,0.00,0.00,Matches
2420,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,de Bundesliga,24-197,1996,29.0,43.2,39.5,3.76,1.97,0.00,5.07,1.59,0.38,0.03,0.03,0.00,0.00,29.8,4.97,8.52,2.86,35.1,2.45,1.76,0.07,35.0,0.14,0.28,0.86,0.83,Matches
2421,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MFDF,Schalke 04,de Bundesliga,30-264,1990,21.7,47.7,44.5,3.23,1.61,0.05,6.77,1.57,0.32,0.00,0.00,0.00,0.00,28.4,5.30,14.0,11.6,30.9,2.53,1.61,0.00,35.7,0.46,1.11,1.71,1.01,Matches
2422,Josip Stanišić\Josip-Stanisic,de GER,DF,Bayern Munich,de Bundesliga,21-032,2000,1.0,61.0,57.0,4.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,52.0,2.00,7.00,13.0,41.0,1.00,4.00,0.00,55.0,0.00,0.00,2.00,1.00,Matches
2423,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,de Bundesliga,26-020,1995,28.9,46.8,45.1,1.66,1.38,0.00,4.98,1.45,0.17,0.00,0.00,0.00,0.00,35.1,3.81,7.92,2.73,40.2,2.46,0.24,0.14,39.4,0.07,0.83,0.52,0.55,Matches
2424,Renato Steffen\Renato-Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,29-182,1991,17.4,38.0,36.1,1.90,0.34,0.06,6.90,0.98,2.07,0.11,0.00,0.11,0.00,23.6,7.59,6.84,28.7,4.94,1.78,1.15,0.34,27.6,0.29,0.69,0.98,1.78,Matches
2425,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,26-032,1995,1.0,28.0,20.0,8.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,2.00,6.00,3.00,21.0,0.00,0.00,4.00,23.0,0.00,0.00,0.00,0.00,Matches
2426,Pascal Stenzel\Pascal-Stenzel,de GER,DF,Stuttgart,de Bundesliga,25-045,1996,12.5,75.8,63.8,11.9,2.40,0.00,3.92,3.20,0.48,0.00,0.00,0.00,0.00,50.2,11.4,14.1,6.40,55.5,3.44,9.52,0.32,64.6,0.16,1.12,0.72,1.36,Matches
2427,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,eng Premier League,31-326,1989,2.9,42.8,42.4,0.34,0.34,0.00,7.59,0.34,0.00,0.00,0.00,0.00,0.00,28.6,7.93,6.21,3.45,34.5,3.10,0.00,0.00,35.5,0.00,0.34,0.69,0.34,Matches
2428,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,eng Premier League,27-097,1994,13.1,59.0,55.6,3.44,1.07,0.08,7.40,0.99,0.00,0.00,0.00,0.00,0.00,40.9,4.12,14.0,5.11,47.1,3.59,2.37,0.00,47.5,0.08,0.92,1.07,0.69,Matches
2429,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,eng Premier League,26-147,1994,25.2,38.6,37.9,0.71,0.16,0.12,8.17,0.36,1.15,0.12,0.04,0.00,0.00,33.6,2.58,2.42,3.49,33.8,0.71,0.32,0.20,32.7,0.04,0.32,1.03,1.75,Matches
2430,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,30-299,1990,26.0,47.9,41.0,6.96,0.35,0.19,6.15,0.77,1.65,0.00,0.00,0.00,0.00,28.4,9.23,10.3,35.8,2.58,2.08,6.62,0.00,37.1,0.46,0.69,1.15,1.35,Matches
2431,Lars Stindl\Lars-Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32-251,1988,19.7,47.0,44.7,2.28,0.46,0.25,8.12,1.02,0.36,1.02,0.10,0.61,0.10,34.6,6.90,5.53,9.75,34.7,1.32,0.10,0.05,38.3,0.25,0.41,1.68,0.86,Matches
2432,Kevin Stöger\Kevin-Stoger,at AUT,MFFW,Mainz 05,de Bundesliga,27-250,1993,5.8,65.9,55.5,10.3,5.00,0.00,8.10,2.41,2.59,3.10,1.72,0.52,0.52,38.1,10.0,17.8,51.7,8.97,2.24,2.24,0.17,45.5,0.34,1.03,2.07,1.03,Matches
2433,John Stones\John-Stones,eng ENG,DF,Manchester City,eng Premier League,26-341,1994,19.5,81.7,80.6,1.13,0.72,0.05,7.23,1.64,0.05,0.00,0.00,0.00,0.00,71.4,4.26,6.00,10.5,67.5,2.05,0.41,0.15,77.0,0.00,0.62,0.41,0.51,Matches
2434,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,26-046,1995,6.0,42.0,35.2,6.83,1.50,0.00,4.83,0.17,0.00,0.00,0.00,0.00,0.00,25.2,2.17,14.7,2.17,32.8,0.00,0.00,5.83,33.7,0.00,0.17,0.33,0.00,Matches
2435,Tobias Strobl\Tobias-Strobl,de GER,MF,Augsburg,de Bundesliga,30-357,1990,20.5,40.7,39.8,0.93,0.73,0.15,9.12,1.46,0.34,0.00,0.00,0.00,0.00,24.9,7.17,8.63,3.85,32.9,2.63,0.00,0.10,33.1,0.15,0.54,1.02,1.07,Matches
2436,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,31-080,1990,2.6,69.2,67.3,1.92,1.15,0.77,8.08,3.85,1.54,0.00,0.00,0.00,0.00,50.8,9.23,9.23,56.5,7.31,2.69,0.77,0.77,58.5,0.00,0.38,0.77,1.15,Matches
2437,Kevin Strootman\Kevin-Strootman,nl NED,MF,Genoa,it Serie A,31-080,1990,12.7,59.2,55.3,3.94,1.65,0.39,8.98,0.63,1.10,1.34,0.39,0.55,0.00,41.5,6.69,11.0,48.0,7.24,2.52,0.87,0.08,47.0,0.47,0.55,1.10,1.81,Matches
2438,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,eng Premier League,21-266,1999,20.3,56.8,55.2,1.63,1.38,0.00,4.38,1.63,0.05,0.10,0.00,0.00,0.10,43.5,4.24,9.11,42.7,9.66,3.15,0.15,0.15,49.5,0.05,1.08,0.84,0.49,Matches
2439,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,it Serie A,30-072,1991,25.3,46.6,39.1,7.47,0.67,0.00,4.94,0.83,1.86,0.00,0.00,0.00,0.00,27.5,9.60,9.49,4.66,33.3,1.42,6.80,0.08,36.6,0.20,0.83,1.38,1.19,Matches
2440,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Hellas Verona,it Serie A,28-056,1993,4.7,38.9,36.8,2.13,1.06,0.00,7.66,1.91,0.85,0.00,0.00,0.00,0.00,24.9,7.23,6.81,5.11,29.1,2.13,1.06,0.00,29.1,0.00,0.21,1.49,1.70,Matches
2441,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Genoa,it Serie A,28-056,1993,4.9,50.0,43.3,6.73,2.65,0.00,8.78,2.86,1.43,2.86,1.02,1.22,0.20,30.4,8.57,11.0,8.37,36.9,2.86,0.41,0.20,35.3,0.00,1.02,0.61,2.04,Matches
2442,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,es La Liga,33-007,1988,23.5,48.6,34.0,14.5,2.81,0.04,3.70,2.34,2.38,0.13,0.00,0.13,0.00,17.8,12.6,18.1,2.55,30.4,2.94,11.6,0.21,32.4,0.30,1.02,1.91,1.62,Matches
2443,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,es La Liga,27-118,1994,27.7,63.4,57.2,6.21,2.56,0.29,6.86,2.20,1.19,2.09,0.58,1.12,0.14,49.1,6.17,8.16,9.13,52.2,1.12,0.36,0.22,51.7,0.14,1.01,1.41,1.26,Matches
2444,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,es La Liga,34-100,1987,24.0,22.2,21.1,1.04,0.00,0.13,4.71,0.67,0.58,0.00,0.00,0.00,0.00,12.8,5.63,3.79,4.58,15.1,1.04,0.04,0.67,16.4,0.04,0.33,0.79,0.83,Matches
2445,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,33-036,1988,2.9,46.6,43.8,2.76,2.41,0.00,8.97,1.03,0.34,0.00,0.00,0.00,0.00,36.2,2.41,7.93,14.8,28.6,1.38,0.34,0.00,40.3,0.00,0.34,0.34,0.34,Matches
2446,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,25-243,1995,15.9,79.0,74.3,4.65,1.13,0.00,6.29,2.14,0.38,0.06,0.00,0.00,0.00,61.9,7.99,9.12,15.6,55.9,3.02,3.46,0.00,72.0,0.06,0.82,0.69,0.57,Matches
2447,Suso\Suso,es ESP,FW,Sevilla,es La Liga,27-166,1993,21.2,49.9,47.0,2.83,0.94,0.05,7.50,3.21,3.25,1.18,0.42,0.05,0.14,34.5,5.52,9.81,43.7,4.72,0.71,0.57,0.00,40.4,0.14,1.42,1.42,1.70,Matches
2448,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,21-123,2000,2.6,59.6,56.5,3.08,0.77,0.00,7.31,0.38,0.77,0.00,0.00,0.00,0.00,48.5,6.54,4.62,8.46,44.6,1.92,2.31,0.00,50.0,0.00,0.38,1.15,1.92,Matches
2449,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,22-119,1999,18.5,31.1,30.3,0.76,0.43,0.16,5.24,0.49,0.11,0.00,0.00,0.00,0.00,22.2,4.43,4.49,3.62,25.1,1.68,0.00,0.22,24.8,0.05,0.43,0.92,1.14,Matches
2450,Abdoulaye Sylla\Abdoulaye-Sylla,gn GUI,DF,Nantes,fr Ligue 1,21-024,2000,0.1,60.0,20.0,40.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,20.0,30.0,10.0,20.0,0.00,30.0,0.00,30.0,0.00,10.0,0.00,0.00,Matches
2451,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Lens,fr Ligue 1,27-123,1994,12.4,55.2,43.7,11.5,0.81,0.00,4.92,0.89,2.90,0.40,0.16,0.00,0.00,29.8,13.3,12.1,35.4,5.97,1.77,10.3,0.48,42.8,0.00,1.05,1.53,2.58,Matches
2452,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,21-248,1999,1.1,34.5,31.8,2.73,0.91,0.00,3.64,0.91,2.73,0.91,0.91,0.00,0.00,26.4,3.64,4.55,29.1,3.64,0.91,0.91,0.00,29.1,0.00,0.91,0.91,0.00,Matches
2453,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,33-146,1987,7.7,25.6,25.1,0.52,0.00,0.13,8.96,0.39,0.91,0.00,0.00,0.00,0.00,10.0,9.87,5.71,3.64,13.5,3.25,0.13,0.52,13.2,0.00,0.65,1.04,2.08,Matches
2454,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,31-016,1990,27.0,33.5,26.3,7.15,0.93,0.00,2.41,0.85,0.00,0.00,0.00,0.00,0.00,26.0,1.81,5.70,3.78,24.9,0.04,0.00,4.41,30.1,0.04,0.33,0.11,0.15,Matches
2455,Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,de Bundesliga,29-020,1992,1.1,45.5,42.7,2.73,0.91,0.00,7.27,0.00,0.00,0.00,0.00,0.00,0.00,23.6,7.27,14.5,3.64,33.6,2.73,1.82,0.00,34.5,0.00,3.64,0.00,1.82,Matches
2456,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,de Bundesliga,25-150,1995,16.0,29.7,28.4,1.25,0.06,0.06,10.9,0.31,1.44,0.00,0.00,0.00,0.00,19.1,6.38,4.19,15.1,7.81,2.00,0.13,0.50,22.4,0.06,0.69,0.63,1.31,Matches
2457,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,23-236,1997,8.4,39.3,35.1,4.17,2.74,0.00,3.45,2.74,0.12,0.00,0.00,0.00,0.00,21.0,3.69,14.6,2.14,31.5,2.62,1.43,0.00,28.8,0.24,1.19,0.36,0.48,Matches
2458,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,25-082,1996,21.7,80.2,78.2,2.03,1.34,0.05,8.53,1.80,0.09,0.00,0.00,0.00,0.00,65.3,5.76,9.08,15.9,58.2,3.50,0.69,0.14,73.1,0.14,0.46,0.83,0.60,Matches
2459,Waniss Taibi\Waniss-Taibi,fr FRA,MF,Angers,fr Ligue 1,19-058,2002,0.4,80.0,80.0,0.00,0.00,0.00,17.5,0.00,0.00,0.00,0.00,0.00,0.00,67.5,7.50,5.00,10.0,70.0,0.00,0.00,0.00,70.0,0.00,0.00,5.00,0.00,Matches
2460,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,28-091,1993,13.2,53.3,51.4,1.89,0.53,0.15,11.5,1.29,1.21,0.76,0.38,0.30,0.00,39.1,6.74,7.50,4.47,46.3,1.06,0.53,0.38,44.4,0.30,0.68,1.44,1.52,Matches
2461,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Hellas Verona,it Serie A,27-089,1994,25.0,39.6,38.2,1.44,1.16,0.04,6.56,0.44,0.64,0.00,0.00,0.00,0.00,27.5,5.52,6.64,3.60,32.1,2.40,0.20,0.20,31.7,0.28,0.72,0.64,0.92,Matches
2462,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,22-034,1999,3.5,38.9,32.3,6.57,1.14,0.00,3.14,1.14,0.57,0.00,0.00,0.00,0.00,22.3,10.3,6.29,1.71,28.6,2.29,5.43,0.29,32.0,0.00,0.00,0.57,1.14,Matches
2463,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,es La Liga,25-280,1995,30.0,52.3,50.8,1.57,1.47,0.07,6.13,2.27,0.17,0.00,0.00,0.00,0.00,37.0,5.80,9.53,6.73,41.8,2.17,0.10,0.20,43.2,0.10,1.23,0.73,0.97,Matches
2464,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,22-091,1999,27.5,94.8,91.7,3.02,2.07,0.11,9.09,3.27,0.04,0.00,0.00,0.00,0.00,79.3,7.45,8.04,13.3,78.3,1.85,0.22,0.04,86.3,0.07,0.87,1.05,0.80,Matches
2465,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,25-228,1995,32.8,57.5,45.9,11.6,1.52,0.00,7.90,1.31,2.53,0.27,0.18,0.06,0.03,28.8,14.2,14.5,36.7,5.43,3.69,9.82,0.21,44.1,0.37,1.10,1.55,1.86,Matches
2466,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,28-166,1992,32.0,32.1,31.0,1.09,0.94,0.06,5.22,1.56,0.16,0.00,0.00,0.00,0.00,15.9,4.44,11.8,4.22,20.4,4.22,0.16,0.06,22.9,0.28,0.78,0.56,0.53,Matches
2467,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-084,1986,1.0,27.0,23.0,4.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,23.0,0.00,4.00,2.00,17.0,0.00,0.00,7.00,24.0,0.00,0.00,0.00,0.00,Matches
2468,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,eng Premier League,26-356,1994,0.9,24.4,23.3,1.11,0.00,0.00,4.44,1.11,0.00,1.11,0.00,1.11,0.00,16.7,3.33,4.44,20.0,2.22,2.22,0.00,0.00,16.7,0.00,0.00,0.00,1.11,Matches
2469,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,de Bundesliga,20-076,2001,0.8,33.8,27.5,6.25,0.00,0.00,7.50,0.00,1.25,0.00,0.00,0.00,0.00,12.5,8.75,12.5,3.75,20.0,1.25,6.25,0.00,21.3,0.00,2.50,1.25,1.25,Matches
2470,Heriberto Tavares\Heriberto-Tavares,pt POR,MFFW,Brest,fr Ligue 1,24-074,1997,0.5,24.0,22.0,2.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,16.0,2.00,6.00,12.0,8.00,2.00,2.00,0.00,20.0,0.00,0.00,0.00,4.00,Matches
2471,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,eng Premier League,19-217,2001,0.9,28.9,27.8,1.11,1.11,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,22.2,6.67,0.00,3.33,23.3,1.11,0.00,0.00,21.1,0.00,0.00,1.11,1.11,Matches
2472,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,es La Liga,20-058,2001,0.7,31.4,30.0,1.43,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,0.00,22.9,4.29,4.29,5.71,22.9,0.00,1.43,0.00,25.7,0.00,0.00,0.00,1.43,Matches
2473,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,27-228,1993,23.0,48.6,39.2,9.39,0.65,0.00,6.09,1.43,2.70,0.00,0.00,0.00,0.00,21.8,11.6,15.2,34.1,1.61,3.00,8.74,0.13,34.3,0.13,1.17,1.09,1.61,Matches
2474,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,32-086,1989,0.2,55.0,50.0,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,5.00,30.0,20.0,0.00,5.00,0.00,50.0,0.00,0.00,0.00,0.00,Matches
2475,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,eng Premier League,19-134,2001,0.1,20.0,20.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
2476,Warren Tchimbembé\Warren-Tchimbembe,fr FRA,MFFW,Metz,fr Ligue 1,23-013,1998,5.5,46.7,45.5,1.27,0.73,0.00,6.36,0.91,0.91,0.36,0.00,0.00,0.00,35.3,6.18,5.27,25.1,17.5,3.09,0.18,0.00,40.0,0.00,0.73,1.09,0.55,Matches
2477,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,21-097,2000,31.0,54.3,53.0,1.32,1.23,0.29,9.84,1.65,0.71,0.03,0.00,0.00,0.03,41.2,5.19,7.94,6.71,43.3,2.13,0.06,0.23,45.5,0.06,0.87,1.19,1.03,Matches
2478,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,24-288,1996,1.2,82.5,65.8,16.7,0.00,0.00,7.50,2.50,9.17,0.00,0.00,0.00,0.00,40.8,11.7,30.0,6.67,53.3,5.00,16.7,0.00,62.5,0.00,1.67,0.00,1.67,Matches
2479,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,eng Premier League,21-303,1999,6.1,17.5,17.0,0.49,0.00,0.00,3.61,0.33,1.48,0.00,0.00,0.00,0.00,12.8,1.64,3.11,4.75,10.8,1.15,0.16,0.16,12.5,0.00,0.16,0.82,0.98,Matches
2480,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,eng Premier League,28-140,1992,5.7,79.1,65.3,13.9,0.53,0.00,6.14,2.28,4.04,4.21,0.70,2.81,0.00,47.4,11.2,20.5,62.1,4.74,2.11,9.12,0.00,63.7,0.00,0.53,1.58,1.05,Matches
2481,Andrés Tello\Andres-Tello,co COL,MFDF,Benevento,it Serie A,24-240,1996,4.1,40.5,36.8,3.66,0.73,0.00,6.34,1.22,0.49,0.49,0.24,0.24,0.00,22.4,5.85,12.2,4.15,29.0,1.95,2.44,0.73,27.3,0.24,0.49,1.22,1.71,Matches
2482,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,es La Liga,29-266,1991,12.7,36.7,35.7,1.02,0.31,0.24,5.20,0.71,2.13,0.31,0.16,0.08,0.00,28.2,5.04,3.46,8.90,25.8,0.79,0.39,0.08,29.1,0.08,0.24,0.79,2.20,Matches
2483,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,22-091,1999,3.0,53.7,51.0,2.67,0.00,0.00,10.3,0.67,1.00,0.00,0.00,0.00,0.00,35.7,7.67,10.3,11.0,33.0,5.00,2.33,0.33,42.0,0.00,2.00,0.67,2.33,Matches
2484,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,23-349,1997,3.9,53.8,46.7,7.18,0.00,0.26,3.59,0.51,3.33,0.00,0.00,0.00,0.00,33.6,10.0,10.3,5.38,39.5,1.79,7.18,0.00,39.7,0.77,0.51,0.51,2.05,Matches
2485,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,29-004,1992,28.0,33.7,27.2,6.46,1.18,0.00,3.18,0.68,0.00,0.00,0.00,0.00,0.00,24.8,1.46,7.43,5.32,23.3,0.04,0.00,4.79,30.1,0.00,0.43,0.25,0.04,Matches
2486,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-057,1990,0.5,36.0,22.0,14.0,2.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,32.0,2.00,28.0,0.00,0.00,4.00,22.0,0.00,0.00,0.00,0.00,Matches
2487,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,24-061,1997,24.4,30.0,29.1,0.98,0.00,0.04,7.83,0.57,1.11,0.08,0.00,0.04,0.00,22.0,4.14,3.89,2.87,23.7,1.35,0.00,0.37,24.1,0.04,0.29,0.78,0.94,Matches
2488,Claudio Terzi\Claudio-Terzi,it ITA,DF,Spezia,it Serie A,36-319,1984,17.8,67.3,63.7,3.60,3.43,0.11,7.92,3.88,0.28,0.00,0.00,0.00,0.00,43.0,7.98,16.3,16.1,47.2,2.42,0.17,0.11,57.0,0.62,1.29,0.90,0.56,Matches
2489,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,25-207,1995,0.2,120.0,100.0,20.0,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,90.0,20.0,10.0,10.0,95.0,0.00,15.0,0.00,105.0,0.00,0.00,0.00,5.00,Matches
2490,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,eng Premier League,25-207,1995,13.8,48.0,40.6,7.46,0.29,0.00,6.30,0.94,3.70,0.00,0.00,0.00,0.00,24.7,11.3,12.0,1.74,35.8,2.32,7.17,0.29,35.0,0.07,1.16,1.67,3.33,Matches
2491,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,24-110,1997,8.1,24.1,23.0,1.11,0.12,0.12,5.31,0.49,0.49,0.25,0.00,0.12,0.12,15.6,4.94,3.58,6.05,14.8,1.73,0.25,0.49,17.5,0.12,0.74,1.11,0.74,Matches
2492,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,28-098,1993,28.5,48.0,42.9,5.05,1.79,0.25,6.63,2.67,3.44,2.35,1.19,0.84,0.07,29.6,7.12,11.3,39.9,6.46,0.49,0.56,0.21,33.9,0.21,1.05,1.86,2.21,Matches
2493,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,19-269,2001,16.1,47.3,44.3,2.92,1.06,0.00,5.28,1.06,0.06,0.00,0.00,0.00,0.00,34.3,5.16,7.83,10.1,32.5,1.61,1.86,0.12,38.6,0.12,1.37,0.87,0.81,Matches
2494,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,18-343,2002,10.5,31.0,29.6,1.33,0.00,0.00,6.57,0.67,1.43,0.00,0.00,0.00,0.00,16.5,7.05,7.43,1.81,25.4,1.81,0.67,0.29,19.7,0.19,1.43,0.57,3.05,Matches
2495,Sada Thioub\Sada-Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25-337,1995,12.1,44.0,42.7,1.24,0.17,0.17,9.42,0.83,1.24,0.17,0.00,0.08,0.00,35.0,5.04,3.97,5.04,36.7,0.83,0.66,0.17,36.6,0.00,0.83,0.58,1.65,Matches
2496,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,19-328,2001,7.5,46.9,40.8,6.13,0.40,0.00,5.33,0.53,0.67,0.00,0.00,0.00,0.00,29.7,8.40,8.80,31.3,4.80,4.27,5.73,0.00,35.1,0.13,1.47,1.33,1.47,Matches
2497,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32-326,1988,30.6,48.2,46.1,2.03,1.96,0.00,4.38,1.99,0.00,0.00,0.00,0.00,0.00,34.2,3.79,10.2,39.2,5.00,2.25,0.07,0.10,41.7,0.03,0.42,0.69,0.36,Matches
2498,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27-145,1993,26.2,39.6,38.1,1.56,0.19,0.08,9.50,1.07,1.11,0.19,0.00,0.08,0.00,27.7,7.10,4.85,7.60,28.6,1.37,0.53,0.50,30.3,0.11,0.46,1.68,1.56,Matches
2499,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,de Bundesliga,26-257,1994,2.5,41.6,38.4,3.20,0.80,0.40,7.20,1.20,2.80,1.20,0.80,0.40,0.00,29.2,5.20,7.20,8.80,29.6,1.20,1.20,0.40,30.0,0.00,0.00,1.20,2.80,Matches
2500,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24-364,1996,27.9,34.0,33.0,0.97,0.47,0.00,9.25,0.29,0.29,0.00,0.00,0.00,0.00,21.3,6.67,6.06,4.95,21.6,2.37,0.50,0.25,25.5,0.04,0.57,1.15,0.97,Matches
2501,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-271,1997,16.9,30.2,29.5,0.65,0.00,0.18,8.64,0.24,0.89,0.00,0.00,0.00,0.00,20.4,5.38,4.38,5.50,19.8,2.19,0.06,0.47,21.6,0.00,0.24,0.89,1.72,Matches
2502,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,20-039,2001,14.7,58.0,56.6,1.36,1.36,0.14,9.05,0.82,0.27,0.00,0.00,0.00,0.00,46.4,6.05,5.51,10.0,45.7,1.50,0.00,0.20,51.0,0.14,0.88,1.02,0.54,Matches
2503,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,22-061,1999,0.1,50.0,50.0,0.00,0.00,0.00,30.0,0.00,10.0,0.00,0.00,0.00,0.00,40.0,0.00,10.0,10.0,40.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,10.0,Matches
2504,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23-362,1997,33.3,69.6,65.2,4.44,1.86,0.21,8.68,2.43,1.14,2.31,0.78,0.75,0.15,50.8,6.34,12.5,13.6,52.9,1.59,0.24,0.39,55.3,0.24,1.35,2.16,1.35,Matches
