,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-063,1989,20.9,65.6,11.8,38.5,29.1,1.67,0.57,63.7,0.10,0.10,100.0,0.10,0.00,39.2,191.2,95.4,1.91,0.19,0.00,0.10,0.10,44.4,43.7,98.4,0.10,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-083,1995,7.6,41.1,1.71,7.50,15.5,22.2,2.76,39.2,1.32,2.50,52.6,1.32,0.00,27.0,226.2,142.5,6.84,2.37,0.53,2.50,2.24,37.9,26.3,69.4,5.92,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-119,1998,0.5,92.0,4.00,24.0,52.0,16.0,2.00,92.0,0.00,2.00,0.0,2.00,0.00,76.0,284.0,160.0,2.00,0.00,0.00,0.00,4.00,100.0,86.0,86.0,2.00,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-119,1998,12.3,47.5,0.57,4.55,23.4,22.4,1.54,43.6,1.30,1.95,66.7,1.38,0.24,32.9,163.8,84.9,4.31,1.63,0.08,1.22,1.38,43.2,32.1,74.4,3.58,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-075,1995,0.2,65.0,55.0,60.0,5.00,0.00,0.00,50.0,0.00,0.00,,0.00,0.00,40.0,185.0,150.0,0.00,0.00,0.00,0.00,0.00,30.0,30.0,100.0,0.00,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-209,1998,28.7,98.5,2.44,23.2,46.0,35.0,2.51,83.9,1.15,1.99,57.9,1.25,0.10,62.7,265.7,157.7,6.59,2.09,0.77,0.49,0.56,69.5,65.7,94.5,3.31,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,22-000,1999,0.4,52.5,0.00,0.00,17.5,35.0,5.00,52.5,2.50,5.00,50.0,2.50,0.00,47.5,175.0,102.5,10.0,0.00,0.00,2.50,5.00,67.5,47.5,70.4,10.0,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-105,2004,3.5,48.3,0.29,4.57,19.7,28.3,6.00,48.0,1.43,3.71,38.5,1.71,0.00,36.6,176.6,120.9,7.14,3.43,0.57,5.43,3.14,52.3,34.9,66.7,8.57,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-081,1992,23.3,71.8,2.83,21.5,35.1,20.4,1.85,63.3,0.52,0.73,70.6,0.52,0.26,40.4,217.6,138.2,5.15,1.85,0.17,0.90,0.86,50.4,45.1,89.4,2.70,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-320,1992,0.2,60.0,0.00,10.0,30.0,20.0,5.00,60.0,5.00,5.00,100.0,5.00,0.00,35.0,20.0,10.0,0.00,0.00,0.00,15.0,10.0,45.0,40.0,88.9,15.0,Matches
